informal work in eng,Profession  in Amharic,Professional / Informal,sector,sub sector,Profession in Amharic,professional/ formal
Electronics Sales Worker,የኤሌክትሮኒክስ ሽያጭ ሰራተኛ,P,,,,
Executive issue,ጉዳይ አስፈፃሚ,P,,,,
Vehicle distribution specialist,የተሽከርካሪዎች ስምሪት ባለሙያ,P,,,,
CBE Birr Operator,ሲቢኢ ብር ኦፕሬተር,P,,,,
project and marketing head,ፕሮጀክት እና ግብይት ኃላፊ,P,,,,
Chef,ሼፍ,P,,,,
management,አስተዳደር,P,,,,
Procurement officer,የግዥ ሠራተኛ,P,,,,
A bachelor's degree in law,በህግ የመጀመሪያ ዲግሪ ያለው,P,,,,
 Injera baker,እንጀራ ጋጋሪ,I,,,,
A beginner woodworker for a furniture house,ጀማሪ የእንጨት ሰራተኛ ለ ፈርኒቸር ቤት,P,,,,
A budding musician and film maker,ጀማሪ ሙዚቀኛ ና ፊልም ባለሙያ,P,,,,
A cashier who knows accounting,አካውንቲንግ የምታውቅ ካሸር,P,,,,
A competent news video editor,ብቃት ያለው የዜና ቪዲዮ ኤዲተር,P,,,,
A creator of children's fairy tales and able to write fairy tales,የህፃናት ተረት ይዘት ፈጣሪ እና ተረቶችን መፃፍ የሚችል,P,,,,
A driver who works by registering a car on my taxi application,የታክሲዬ አፕልኬሽን ላይ መኪና በማስመዝገብ የሚሰራ ሹፌር,I,,,,
Oromo singer,ኦሮምኛ ድምጻዊት,P,,,,
teacher who can recite the Qur'an,ቁርአን ማስቀራት የምትችል አስጠኚ,P,,,,
A flower worker,አበባ ቤት ሰራተኛ,I,,,,
A furniture specialist for an office door,ለቢ ሮ በር ገጣ ሚ የፈርኒቸር ባለሙ ያ,P,,,,
A laborer,የጉልበት ሰራተኛ,I,,,,
A lawyer,ጠበቃ,P,,,,
"A maker of desserts, mainly baklava, halawa and mushebek","የጣፋጭ ምግቦች ሰሪ በዋናነት ባቅላባ , ሃላዋ እና ሙሸበክ",U,,,,
A maker of handmade lace and knitwear,በእጅ የሚሰሩ የዳንቴል እና የሹራብ ልብሶችን የሚሰራ,P,,,,
A metal worker,የብረት በያጅ ባለሙያ,P,,,,
A modern woodworker,ዘመናዊ የእጨት ባለሙያ,P,,,,
accountant,የሂሳብ ባለሞያ,P,,,,
A novice film maker,ጀማሪ ፊልም ሰሪ,P,,,,
A photographer can also do photo editing,ፎቶ ግራፈር ፎቶ ኤዲቲንግም መስራት እሚችል,P,,,,
 nails and eyelashes  professions ,ጥፍር እና አይላሽ ባለሞያ,P,,,,
A professional hair salon work,ፀጉር ቤት ባለሙያ,P,,,,
A receptionist who packs goods and drives a car,ሪሰብሽን እቃ ሚያሽግ እና መኪና ሚያሽከረክር,P,,,,
A sales employee of a traditional clothing store,የባህል ልብስቤት ሽያጭ ሰራተኛ,P,,,,
A sales employee who has worked at the cash register,የሽያጭ ሰራተኛ ካሽሬጅስተር,P,,,,
A sales professional in a furniture company,በፈርኒቸር ድርጅት የሴልስ ባለሙያ,P,,,,
A tailor,የ ልብስ ስፌት ባለሙያ,P,,,,
A versatile advertising professional,ሁለገብ የማስታወቂያ ባለሙያ,P,,,,
carpenter,አናጺ,P,,,,
food expert,የምግብ ባለሙያ,P,,,,
maintenance specialist,የጥገና ባለሙያ,P,,,,
"A volunteer who can make audio recordings in Aramaic, Tigrinya and English",በጎ ፈቃደኛ ኦሮምኛ፣ ትግርኛ እና እንግሊዝኛ የድምጽ ቅጅ መስራት የትችል,I,,,,
protection and cleaning,ጥበቃ እና ፅዳት,I,,,,
Able to cut and sew women's and men's traditional clothes.,የሴትና የወንድ የባህል ልብስ ቆርጦ መስፋት,P,,,,
Able to hack embroidery,ጥልፍ መጥለፍ የሚችል,I,,,,
Able to produce vases and other accessories made of cement,ከሲሚንቶ የሚሰሩ የአበባ ማስቀመጫና ሌሎች መገልገያዎችን ማምረት የሚችል,I,,,,
Able to teach and recite the Qur'an,ትምህርት ማስጠናት እና ቁርአን ማስነበብ የሚችሉ,I,,,,
receptionist,እንግዳ ተቀባይ,P,,,,
sales professional,የሽያጭ ባለሞያ,P,,,,
Accountant and secretary,የሒሳብ ሠራተኛና ፀሀፊ,P,,,,
Acting and editing a YouTube show for a new film and theater group,አዲስ ለሚቋቋም የፊልም እና የቲያትር ቡድን በትወና በኤዲቲንግ በዩቲዩብ ሾ ው ስራ,P,,,,
Actor,ተዋናይ,P,,,,
narrator,ተራኪ,P,,,,
Administration and Finance,አስተዳደርና ፋይናንስ,P,,,,
Administrative Officer,የአስተዳደር ኦፊሰር,P,,,,
Advertising and Sales,የማስታወቂያ እና ሽያጭ (ሴልስ),U,,,,
Advertising machines operator,የማስታወቂያ ማሽኖች ኦፕሬተር,P,,,,
Advertising work,የማስታወቂያ ሥራ,P,,,,
host,አስተናጋጅ,I,,,,
Agency secretary and receptionist,የኤጀንሲ ጸሃፊ እና እንግዳ ተቀባይ,I,,,,
Agent distributor,ወኪል አከፋፋይ,P,,,,
Aluminum expert,የአልሙኒየም ባለሙያ,P,,,,
Amharic language teacher,የአማርኛ ቋንቋ አስተማሪ,P,,,,
Amharic news producer and audio presenter,የአማርኛ ዜና አዘጋጅ እና በድምጽ አቅራቢ,P,,,,
Amharic text writer and photoshop designer,አማርኛ ፅሁፍ ፀሐፊና ፎቶሾፕ ዲዛይነር,P,,,,
"An expert who can make shapes with paper, fabric and different raw materials",በወረቀት ፣ በጨርቅ እንዲሁም በተለያየ ጥሬ እቃ ቅርፃ ቅርፅ መስራት የሚች ል ባለሙያ,P,,,,
Answering phone calls for ride and delivery work,የስልክ ጥሪ የምትቀበል ለ ራይድና ዲሊቨሪ ስራ,P,,,,
Arabic speaking writer,የአረብኛ ተናጋሪ ጸሀፊ,P,,,,
Architect designer,አርክቴክት ዲዛይነር,P,,,,
Art teacher,የአርት መምህር,P,,,,
Artificial grass,አርቴፊሻል ሳር አንጣፊ,U,,,,
Aspiring fashion designer,ፋሽን ዲዛይነር,P,,,,
Aspiring sports journalist,የስፖርት ጋዜጠኛ,P,,,,
Assistant Advertising Associate,ረዳት የማስታወቂያ ተባባሪ,P,,,,
assistant and head teacher,ረዳት እና ዋና መምህር,P,,,,
Assistant Executive Secretary,ረዳት ኤክሲኪዩቲቭ ሴክሬተሪ,P,,,,
Assistant Food and Beverage Control,ረዳት የምግብ እና መጠጥ ቁጥጥር,I,,,,
Assistant Insurance Compliance Officer,ረዳት ኢንሹራንስ ክትትል ባለሙያ,P,,,,
Assistant juicer,ረዳት ጁስ ሰሪ,I,,,,
Assistant kitchen,ረዳት ወጥ ቤት,I,,,,
Assistant Production Supervisor.,አሲስታንት ፕሮዳክሽን ሱፐርቫይዘር,P,,,,
Assistant Professor of Nail and Eyelash,የጥፍር እና አይላሽ ረዳት መምህር,P,,,,
Assistant Property Inventory and Monitoring Officer,በረዳት ንብረት ክምችት እና ክትትል ኦፊሰር,P,,,,
Assistant teacher at Susan's Beauty Training,በሱዛን የውበት ማሰልጠኛ ረዳት መምህር,P,,,,
Assistant technician and manual worker,ረዳት ቴክኒሽያን እና ባንባ ሰራተኛ,P,,,,
Assistant tutor,ረዳት ሞግዚት,I,,,,
Asuzu van sales staff,አሱዙ ቫን ሽያጭ ሰራተኛ,I,,,,
Attorney's assistant,የጠበቃ ረዳት,I,,,,
Auction specialist,ጨረታ ባለሙያ,I,,,,
Audio or radio advertising professional,ድምፅአዊ ወይም ሬድዩ ማስታወቂያ ባለ ሞያ,P,,,,
Audio recording of Tigrinya language,የትግርኛ ቋንቋ የድምጽ ቅጂ ቀረጻ,I,,,,
Auto electrician,አውቶ ኤሌክትሪሽያን,P,,,,
Auto mechanic and tire specialist,አውቶ መካኒክ እና የጎሚስታ ባለሙያ,P,,,,
Auxiliary fiber producer,ረዳት ፋይበር አምራች,P,,,,
Baby teacher,ህፃን ልጅ አስጠኚ,P,,,,
Bachelor's degree in history and related fields,በ ታሪክ እና ተያያዥነት ባላቸው የት/ት ዘርፍ የመጀመሪያ ዲግሪ ያለው/ያላት,P,,,,
Bachelor's degree in law,በ ህግ የመጀመሪያ ድግሪ ምሩቅ,P,,,,
Bag maker,ቦርሳ ሰሪ,I,,,,
Bar and Restaurant Manager,ባር እና ሬስቶራንት ማናጀር,P,,,,
Bar and Restaurant Supervisor,ባር እና ሬስቶራንት ሱፐርቫይዘር,,,,,
Bar Man,ባር ማን,I,,,,
Bar tender,ባር ቴንደር,I,,,,
Barista,ባሬስታ,I,,,,
Bazaar sales employee,የባዛር ሽያጭ ሰራተኛ,I,,,,
beginner in the Yage and General Assistant,ጀማሪ በያጅ እና ጀነራል አሲስታንት,I,,,,
massage therapist,ጀማሪ የማሳጅ ባለሙያ,I,,,,
Beginner mechanic,ጀማሪ መካኒክ,P,,,,
Beginner patcher,ጀማሪ ፓቸር,P,,,,
Beginner singer,ጀማሪ ዘፋኝ,I,,,,
Beginner video editor,ጀማሪ የቪዲዮ ኤዲተር,P,,,,
Beginner vocal and keyboard coach,ጀማሪ ቭካል እና ኪቦርድ አሰልጣኝ,P,,,,
