Informal Works in English,Profession  in Amharic,Professional / Informal,sector,sub sector
Electronics Sales Worker,የኤሌክትሮኒክስ ሽያጭ ሰራተኛ,P,SERVICE,-
Executive issue,ጉዳይ አስፈፃሚ,P,SERVICE,-
Vehicle distribution specialist,የተሽከርካሪዎች ስምሪት ባለሙያ,P,Service,-
CBE Birr Operator,ሲቢኢ ብር ኦፕሬተር,P,FINANCE,-
project and marketing head,ፕሮጀክት እና ግብይት ኃላፊ,P,,-
Chef,ሼፍ,P,,-
management,አስተዳደር,P,,-
Procurement officer,የግዥ ሠራተኛ,P,,-
A bachelor's degree in law,በህግ የመጀመሪያ ዲግሪ ያለው,P,SERVICE,-
 Injera baker,እንጀራ ጋጋሪ,I,,-
A beginner woodworker for a furniture house,ጀማሪ የእንጨት ሰራተኛ ለ ፈርኒቸር ቤት,P,Manufcturing,-
A budding musician and film maker,ጀማሪ ሙዚቀኛ ና ፊልም ባለሙያ,P,SERVICE,-
A cashier who knows accounting,አካውንቲንግ የምታውቅ ካሸር,P,,-
A competent news video editor,ብቃት ያለው የዜና ቪዲዮ ኤዲተር,P,SERVICE,-
A creator of children's fairy tales and able to write fairy tales,የህፃናት ተረት ይዘት ፈጣሪ እና ተረቶችን መፃፍ የሚችል,P,,-
A driver who works by registering a car on my taxi application,የታክሲዬ አፕልኬሽን ላይ መኪና በማስመዝገብ የሚሰራ ሹፌር,I,,-
Oromo singer,ኦሮምኛ ድምጻዊት,P,SERVICE,-
teacher who can recite the Qur'an,ቁርአን ማስቀራት የምትችል አስጠኚ,P,,-
A flower worker,አበባ ቤት ሰራተኛ,I,SERVICE,-
A furniture specialist for an office door,ለቢ ሮ በር ገጣ ሚ የፈርኒቸር ባለሙ ያ,P,Manufcturing,-
A laborer,የጉልበት ሰራተኛ,I,,-
A lawyer,ጠበቃ,P,SERVICE,-
"A maker of desserts, mainly baklava, halawa and mushebek","የጣፋጭ ምግቦች ሰሪ በዋናነት ባቅላባ , ሃላዋ እና ሙሸበክ",U,,-
A maker of handmade lace and knitwear,በእጅ የሚሰሩ የዳንቴል እና የሹራብ ልብሶችን የሚሰራ,P,Manufcturing,-
A metal worker,የብረት በያጅ ባለሙያ,P,,-
A modern woodworker,ዘመናዊ የእጨት ባለሙያ,P,,-
accountant,የሂሳብ ባለሞያ,P,SERVICE,-
A novice film maker,ጀማሪ ፊልም ሰሪ,P,SERVICE,-
A photographer can also do photo editing,ፎቶ ግራፈር ፎቶ ኤዲቲንግም መስራት እሚችል,P,SERVICE,-
 nails and eyelashes  professions ,ጥፍር እና አይላሽ ባለሞያ,P,SERVICE,-
A professional hair salon work,ፀጉር ቤት ባለሙያ,P,SERVICE,-
A receptionist who packs goods and drives a car,ሪሰብሽን እቃ ሚያሽግ እና መኪና ሚያሽከረክር,P,,-
A sales employee of a traditional clothing store,የባህል ልብስቤት ሽያጭ ሰራተኛ,P,,-
A sales employee who has worked at the cash register,የሽያጭ ሰራተኛ ካሽሬጅስተር,P,,-
A sales professional in a furniture company,በፈርኒቸር ድርጅት የሴልስ ባለሙያ,P,,-
A tailor,የ ልብስ ስፌት ባለሙያ,P,Trade,-
A versatile advertising professional,ሁለገብ የማስታወቂያ ባለሙያ,P,,-
carpenter,አናጺ,P,SERVICE,-
food expert,የምግብ ባለሙያ,P,,-
maintenance specialist,የጥገና ባለሙያ,P,,-
"A volunteer who can make audio recordings in Aramaic, Tigrinya and English",በጎ ፈቃደኛ ኦሮምኛ፣ ትግርኛ እና እንግሊዝኛ የድምጽ ቅጅ መስራት የትችል,I,SERVICE,-
