informal work in eng,Profession in Amharic,professional/ formal,sector,sub sector
Digital Media Marketer,ዲጂታል ሚዲያ ገበያተኛ,P,Service,Advertising
Market Strategist,ገበያ ስትራቴጂስት,P,Service,Business Promotion Service
Junior Risk Officer,ጁኒየር አደጋ መኮንን,P,Service,Other services
Senior Customer Service Officer,ከፍተኛ የደንበኞች አገልግሎት ኦፊሰር,P,Service,Other services
Waiteress/waiter,አስተናጋጅ,P,Tourism and art,"Resturant,Coffee shop"
Commerce Expert,የንግድ ባለሙያ,P,Business,Other unspecified food products retail
Secretary Cashier,ጸሐፊ ገንዘብ ተቀባይ,P,Service,Finance and Administration Services
Senior District Auditor,ሲኒየር ዲስትሪክት ኦዲተር,P,Service,Accounting audit and adminstrative works
Sales Representative,የሽያጭ ተወካይ,P,Business,Other unspecified food products retail
Small vehicle DRIVER,የአነስተኛ መኪና ሾፌር,I,"Logistics, transportation and communication",Other scheduled land transport services
Mathematics teacher,የሂሳብ መምህር,P,Education,other
Promoter,አስተዋዋቂ,I,Service,Business Promotion Service
Ticket Distribution Agent,የቲኬት ማከፋፈያ ወኪል,I,Tourism and art,Travel Agent and Related Services
Social Media Manager,የአማርኛ YouTube ቻናል,I,Service,Advertising
Video Editor,ቪዲዮ ኤዲተር,I,Tourism and art,Filmmaking and related work
Branch Manager,ቅርንጫፍ ሥራ አስኪያጅ,P,Business,Wholesale business in specialized stores
Corporate Affairs Manager,የኮርፖሬት ጉዳዮች ሥራ አስኪያጅ,P,Service,Finance and Administration Services
Expert Grant proposal writer,ኤክስፐርት ግራንት ፕሮፖዛል ጸሐፊ,P,Service,Research and Experimental Development Works on Economics and Development
Junior account manager,ጁኒየር መለያ አስተዳዳሪ,P,Service,Business Promotion Service
Junior Accounting Officer,Finance,P,Service,Accounting audit and adminstrative works
Junior Accounting Specialist,ጁኒየር የሂሳብ ባለሙያ,P,Service,Accounting audit and adminstrative works
Junior Admin and Finance Associate,ጁኒየር አስተዳዳሪ እና ፋይናንስ ተባባሪ,P,Service,Finance and Administration Services
Junior Administrative & Marketing Assistant,ጁኒየር አስተዳደር እና ግብይት ረዳት,P,Service,Business Promotion Service
Junior Advisor Gender & Peace for Response to SGBV,ጀማሪ አማካሪ ጾታ እና ሰላም ለኤስጂቢቪ ምላሽ,P,Service,Social work services
Junior Advisor Sustainable Energy,ጁኒየር አማካሪ ዘላቂ ኃይል,P,Economic Infrastructure,Energy
Junior Advocacy officer,ጁኒየር አድቮኬሲ ኦፊሰር,P,Service,Social work services
Junior Agency Banking Officer,ጁኒየር ኤጀንሲ የባንክ ኦፊሰር,P,Service,Finance and Administration Services
Junior agent sales support officer,የጁኒየር ወኪል የሽያጭ ድጋፍ መኮንን,P,Business,Retail trade in specialized stores
